num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
226,29,Biología UNC 1°,Resolución Individual,19,M, ,V,I,VI,2,0,0
227,29,Biología UNC 1°,Resolución Individual,19,M, ,I,C,IC,3,0,1
228,29,Biología UNC 1°,Resolución Individual,19,M, ,I,I,II,4,1,0
229,29,Biología UNC 1°,Resolución Individual,19,M, ,V,C,VC,5,1,1
230,29,Biología UNC 1°,Resolución Individual,19,M, ,V,I,VI,6,1,1
231,29,Biología UNC 1°,Resolución Individual,19,M, ,I,C,IC,7,0,1
232,29,Biología UNC 1°,Resolución Individual,19,M, ,I,I,II,8,0,1
233,30,Biología UNC 1°,Resolución Individual,30,F, ,V,C,VC,1,1,1
234,30,Biología UNC 1°,Resolución Individual,30,F, ,V,I,VI,2,1,1
235,30,Biología UNC 1°,Resolución Individual,30,F, ,I,C,IC,3,1,0
236,30,Biología UNC 1°,Resolución Individual,30,F, ,I,I,II,4,0,1
237,30,Biología UNC 1°,Resolución Individual,30,F, ,V,C,VC,5,1,1
238,30,Biología UNC 1°,Resolución Individual,30,F, ,V,I,VI,6,0,0
239,30,Biología UNC 1°,Resolución Individual,30,F, ,I,C,IC,7,0,1
240,30,Biología UNC 1°,Resolución Individual,30,F, ,I,I,II,8,0,1
241,31,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,1,1
242,31,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,0,0
243,31,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,0,1
244,31,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,4,0,1
245,31,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,5,1,1
246,31,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,6,0,0
247,31,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,7,1,0
248,31,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,8,0,1
249,32,Biología UNC 1°,Resolución Individual,35,M, ,V,C,VC,1,1,1
250,32,Biología UNC 1°,Resolución Individual,35,M, ,V,I,VI,2,1,1
251,32,Biología UNC 1°,Resolución Individual,35,M, ,I,C,IC,3,0,1
252,32,Biología UNC 1°,Resolución Individual,35,M, ,I,I,II,4,0,1
253,32,Biología UNC 1°,Resolución Individual,35,M, ,V,C,VC,5,1,1
254,32,Biología UNC 1°,Resolución Individual,35,M, ,V,I,VI,6,1,1
255,32,Biología UNC 1°,Resolución Individual,35,M, ,I,C,IC,7,1,0
256,32,Biología UNC 1°,Resolución Individual,35,M, ,I,I,II,8,1,0
257,33,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,1,1,1
258,33,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,2,0,0
259,33,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,3,1,0
260,33,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,4,0,1
261,33,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,5,1,1
262,33,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,6,0,0
263,33,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,7,1,0
264,33,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,8,0,1
265,34,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,0,0
266,34,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,0,0
267,34,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,1,0
268,34,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,4,0,1
269,34,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,5,1,1
270,34,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,6,0,0
271,34,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,7,1,0
272,34,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,8,0,1
273,35,Biología UNC 1°,Resolución Individual,25,F, ,V,C,VC,1,1,1
274,35,Biología UNC 1°,Resolución Individual,25,F, ,V,I,VI,2,0,0
275,35,Biología UNC 1°,Resolución Individual,25,F, ,I,C,IC,3,1,0
276,35,Biología UNC 1°,Resolución Individual,25,F, ,I,I,II,4,0,1
277,35,Biología UNC 1°,Resolución Individual,25,F, ,V,C,VC,5,1,1
278,35,Biología UNC 1°,Resolución Individual,25,F, ,V,I,VI,6,0,0
279,35,Biología UNC 1°,Resolución Individual,25,F, ,I,C,IC,7,0,1
280,35,Biología UNC 1°,Resolución Individual,25,F, ,I,I,II,8,0,1
281,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,V,C,VC,1,1,1
282,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,V,I,VI,2,0,0
283,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,I,C,IC,3,0,1
284,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,I,I,II,4,0,1
285,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,V,C,VC,5,1,1
286,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,V,I,VI,6,0,0
287,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,I,C,IC,7,0,1
288,36,Psicología Experimental UNC 3°,Resolución Individual, , , ,I,I,II,8,0,1
289,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,V,C,VC,1,1,1
290,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,V,I,VI,2,0,0
291,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,I,C,IC,3,0,1
292,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,I,I,II,4,0,1
293,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,V,C,VC,5,1,1
294,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,V,I,VI,6,0,0
295,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,I,C,IC,7,0,1
296,37,Psicología Experimental UNC 3°,Resolución Individual,29,F, ,I,I,II,8,1,0
297,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,V,C,VC,1,1,1
298,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,V,I,VI,2,1,1
299,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,I,C,IC,3,0,1
300,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,I,I,II,4,0,1
301,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,V,C,VC,5,0,0
302,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,V,I,VI,6,0,0
303,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,I,C,IC,7,0,1
304,38,Psicología Experimental UNC 3°,Resolución Individual,22,M, ,I,I,II,8,0,1
305,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,V,C,VC,1,0,0
306,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,V,I,VI,2,0,0
